X,Y
4.5884633,-2.9838936
0.5809673,-4.917125
5.184964,-4.423263
3.7775023,-1.6830269
6.864302,3.5128312
8.22538,6.247416
14.39445,8.592385
14.42182,7.6332717
10.125916,8.255836
2.5981922,8.637524
-1.9669211,6.529919
4.93994,-2.8330646
0.61569184,-5.533291
13.205972,9.472706
7.4591575,7.019527
-3.906447,5.8409066
4.0866094,-1.6636324
1.7377143,-5.9481297
3.3230822,-6.2252865
4.6472263,-3.4628263
3.1150029,7.823644
1.3344078,6.1290402
11.19973,7.133087
2.682237,5.4439263
-4.7634983,6.2714643
1.9856199,-6.9382396
13.584859,5.2989793
0.453228,10.994384
-3.877407,12.88628
11.046158,6.1007137
13.379982,5.9431243
2.5869582,-2.4212897
14.088884,8.300635
-3.0497859,4.9211497
14.481516,8.6543255
-0.76556623,12.073611
4.961509,-5.193181
-4.6456995,9.971798
1.7667385,-4.025062
15.325138,8.548579
9.573055,9.909099
-0.9061894,10.179982
3.9425693,9.053454
-0.8920133,5.7074337
11.049196,5.5639715
5.802364,-0.0068063056
-2.8758533,11.193689
2.785969,10.016278
1.9197589,10.33278
-5.0350857,8.592112
14.635037,8.114483
3.992855,-3.245046
-1.0808064,10.442249
6.527332,0.36901465
-3.1451817,8.106198
12.189892,6.8703184
2.7022471,8.083195
2.4698973,8.401367
10.112573,7.065357
19.027,9.920067
5.4030566,-0.7117512
11.801109,8.213973
-5.1776395,10.841789
8.086128,5.0176244
-4.4058185,5.6836214
4.245832,-2.2174845
17.183212,8.198028
0.7950798,-4.998044
19.770784,9.693244
0.048338354,10.947068
2.2878377,9.0216465
-4.162627,11.940686
5.6344357,9.871622
10.630464,6.721347
19.754675,11.526696
-3.6826777,14.383458
1.3825979,-5.3771005
2.7347467,8.569062
9.066666,8.126881
12.726912,9.049549
15.825203,8.287877
6.9827642,4.9699707
14.015564,6.791216
9.8747425,8.043317
15.5528,8.579796
17.168947,9.087788
1.8707224,-5.360122
10.250108,7.417213
-2.9476757,5.719666
4.0705566,-1.8721293
-3.97811,10.147265
12.067193,6.271914
5.867526,5.116481
-3.020104,6.76266
-4.382589,10.372416
7.2704124,8.463435
5.0469127,-3.6369596
4.9760118,-1.7493308
1.1804981,-5.7872496
19.908228,11.051513
1.6419253,-5.7318454
2.259074,8.932152
1.5204517,-6.850194
4.807299,6.2921376
2.604649,-6.9816027
4.7214227,-2.0631354
3.291405,8.751492
1.0051191,9.091411
3.6851888,9.524343
5.5161586,7.222815
8.740954,6.623072
-4.836782,7.872833
1.5628972,5.951709
8.712805,10.182394
-2.4876761,14.055734
15.814157,8.166841
7.872474,8.329937
19.070663,9.003303
2.258083,-4.6634164
19.995058,12.57316
12.53484,7.0750437
-4.5007825,9.937433
12.700327,8.9572525
4.4567027,-5.6306453
6.359762,-0.24270421
2.3468578,-6.8062305
-1.9747933,4.4956956
9.158393,7.7928886
-6.685114,12.106072
3.2473109,-5.3328767
-8.009234,10.594547
6.147871,9.868066
3.9829574,-5.8971395
6.6567883,9.882087
19.975628,12.915568
6.9731574,7.5651364
12.657838,8.471918
2.8729162,-2.9641495
-4.573444,9.39971
-1.2596062,8.492868
10.021481,5.1098776
4.304379,-3.5564778
3.1638858,-6.811375
2.9315226,-5.267839
4.297167,8.554569
3.32129,-7.0965614
5.2304263,-4.2348094
